0,1,2,3,4,5,6,7,8
Afghanistan,32,Rohullah Nikpai,http://www.wikidata.org/entity/Q230854,wd:Q230854,18942562.0,Taekwondo practitioner,"Rohullah Nikpai (Dari: روح‌الله نیکپا; born June 15, 1987) is an ethnic Hazara taekwondo practitioner and two-time Olympic bronze medalist from Afghanistan.

",https://en.wikipedia.org/wiki/Rohullah_Nikpai
Albania,27,Luiza Gega,http://www.wikidata.org/entity/Q4134683,wd:Q4134683,39851294.0,Albanian runner,"Luiza Gega (born 5 November 1988) is an Albanian middle- and long-distance runner who specialises in the 3000 metres steeplechase since 2016. She won the silver medal in the event at the 2016 European Championships, and a gold in 2022 setting the championship record in the process. Her silver was the first ever Albania’s European medal, while her gold was the first ever title for the country at the European Athletics Championships.Gega represented Albania at the 2016 Rio Olympics, and 2020 Tokyo Olympics, competing in the women's 3000 m steeplechase.She competed at the 2019 World Athletics Championships, finishing ninth, and at the 2022 World Athletics Championships, finishing fifth, both in the 3000 metres steeplechase. In 2022 she became European Champion in that discipline, where previously, in 2016, she had been runner-up.
Gega is the Albanian record holder in the 800, 1500, 3000 (those three out and indoor), 5000, 10,000 metres, half-marathon and marathon distances as well as the 2000 and 3000 metres steeplechase.",https://en.wikipedia.org/wiki/Luiza_Gega
Algeria,36,Sofia Boutella,http://www.wikidata.org/entity/Q258777,wd:Q258777,14882980.0,"Algerian actress, dancer, model and former rhythmic gymnast","Sofia Boutella (Arabic: صوفيا بوتلة; born 3 April 1982) is an Algerian actress, model, and dancer.

",https://en.wikipedia.org/wiki/Sofia_Boutella
Andorra,15,Quino Colom,http://www.wikidata.org/entity/Q2893282,wd:Q2893282,18353138.0,Spanish basketball player,"Joaquim ""Quino"" Colom Barrufet (born November 1, 1988) is a Spanish-Andorran professional basketball player for Bàsquet Girona of the Spain Liga ACB.",https://en.wikipedia.org/wiki/Quino_Colom
Angola,15,Antonia Moreira,http://www.wikidata.org/entity/Q463073,wd:Q463073,13587334.0,Angolan judoka,"Antónia Moreira de Fátima (born 26 April 1982 in Luanda), nicknamed Faia, is an Angolan judoka.She competed in the +70 kg division at the 2004 Summer Olympics and lost in the round of 16 to Kim Ryon-Mi of North Korea.
Moreira also won medals at the 2004 and 2005 African Judo Championships (gold in 2004, silver in 2005) as well as bronze medals at the 2007 All-Africa Games and the 2008 African Judo Championships and a gold medal at the 2015 African Games.
At the 2012 Olympic Games, she competed in the -70 kg division, and was knocked out in the second round by eventual bronze medallist Yuri Alvear.At the 2016 Summer Olympics in Rio de Janeiro, she competed in the women's 70 kg division. She finished in 9th place after being defeated by Laura Vargas Koch of Germany in the second round.",https://en.wikipedia.org/wiki/Ant%C3%B3nia_Moreira
Antigua and Barbuda,28,Rodney Williams,http://www.wikidata.org/entity/Q17566330,wd:Q17566330,43586519.0,Governor-General of Antigua and Barbuda (born 1947),"Sir Rodney Errey Lawrence Williams,  (born 2 November 1947) is the current and 4th Governor-General of Antigua and Barbuda.",https://en.wikipedia.org/wiki/Rodney_Williams_(governor-general)
Argentina,71,Juan Manuel Fangio,http://www.wikidata.org/entity/Q2069,wd:Q2069,48532.0,Argentine racing driver (1911–1995),"Juan Manuel Fangio (American Spanish: [ˈfanχjo], Italian: [ˈfandʒo]; 24 June 1911 – 17 July 1995), nicknamed El Chueco (""the bowlegged"" or ""bandy legged one"") or El Maestro (""The Master"" or ""The Teacher""), was an Argentine racing car driver. He dominated the first decade of Formula One racing, winning the World Drivers' Championship five times.From childhood, he abandoned his studies to pursue auto mechanics. In 1938, he debuted in Turismo Carretera, competing in a Ford V8. In 1940, he competed with Chevrolet, winning the Grand Prix International Championship and devoted his time to the Argentine Turismo Carretera becoming its champion, a title he successfully defended a year later. Fangio then competed in Europe between 1947 and 1949, where he achieved further success.
He won the World Championship of Drivers five times—a record that stood for 46 years until beaten by Michael Schumacher—with four different teams (Alfa Romeo, Ferrari, Mercedes-Benz, and Maserati). He holds the highest winning percentage in Formula One at 46.15%, winning 24 of 52 Formula One races he entered. Fangio is the only Argentine driver to have won the Argentine Grand Prix, which he won four times in his career, more than any other driver.After retirement, Fangio presided as the honorary president of Mercedes-Benz Argentina from 1987, a year after the inauguration of his museum, until his death in 1995. In 2011, on the centenary of his birth, Fangio was remembered around the world and various activities were held in his honor.

",https://en.wikipedia.org/wiki/Juan_Manuel_Fangio
Armenia,53,Levon Aronian,http://www.wikidata.org/entity/Q154586,wd:Q154586,2161769.0,Armenian-American chess player,"Levon Grigori Aronian (Armenian: Լևոն Գրիգորի Արոնյան, romanized: Levon Grigori Aronyan; born 6 October 1982) is an Armenian chess grandmaster. A chess prodigy, he earned the title of grandmaster in 2000, at age 17. Aronian held the No. 2 position in the March 2014 FIDE world chess rankings with a rating of 2830, becoming the fourth-highest rated player in history.
Aronian won the FIDE World Cup in 2005 and 2017. He led the Armenian national team to the gold medals in the Chess Olympiads of 2006 (Turin), 2008 (Dresden) and 2012 (Istanbul) and at the World Team Chess Championship in Ningbo 2011. He won the FIDE Grand Prix 2008–2010, qualifying him for the Candidates Tournament for the World Chess Championship 2012. He was also world champion in Chess960 in 2006 and 2007, in rapid chess in 2009, and in blitz chess in 2010.
Aronian has been the leading Armenian chess player since the early 2000s. His popularity in Armenia has led to him being called a celebrity and a hero. He was named the best sportsman of Armenia in 2005 and was awarded the title of Honoured Master of Sport of the Republic of Armenia in 2009. In 2012, he was awarded the Order of St. Mesrop Mashtots. In 2016, CNN called Aronian the ""David Beckham of chess"".Aronian announced his decision to transfer from the Armenian chess federation to the United States federation in late February 2021, citing a decline in government support for the sport as his motivation. The transfer was completed in December 2021.",https://en.wikipedia.org/wiki/Levon_Aronian
Australia,63,Mark Webber,http://www.wikidata.org/entity/Q82667,wd:Q82667,564161.0,Australian professional racing driver,"Mark Alan Webber  (born 27 August 1976) is an Australian retired professional racing driver who competed in Formula One from 2002 to 2013 and the FIA World Endurance Championship (WEC) between 2014 and 2016. He is a champion of the 2015 FIA WEC for Porsche with German Timo Bernhard and New Zealander Brendon Hartley.
Webber began karting at age 12 or 13 and achieved early success, winning regional championships before progressing to car racing in the Australian Formula Ford Championship and the British Formula 3 Championship. He competed for two years opposite Bernd Schneider in the FIA GT Championship with the AMG Mercedes team, finishing runner-up in the 1998 season with five wins in ten races before finishing second in the 2001 International Formula 3000 Championship driving for Super Nova Racing. Webber made his F1 debut with the Minardi team in the 2002 season and finished fifth in his first race, the Australian Grand Prix. He moved to the Jaguar squad for the 2003 and 2004 championships. For the 2005 season, he was granted an early release from his contract with Jaguar and joined the Williams team, securing his first podium finish at the Monaco Grand Prix. Webber remained at Williams until the 2006 campaign, driving for the Red Bull squad for the rest of his F1 career. He won nine F1 Grands Prix, thirteen pole positions and finished third in the World Drivers' Championship in the 2010, 2011 and 2013 seasons.
He left F1 after 2013 and moved to the WEC, sharing a Porsche 919 Hybrid with Bernhard and Hartley in the fully-professional Le Mans Prototype 1 class from the 2014 to 2016 seasons. The trio won eight races in the final two seasons and the 2015 World Endurance Drivers' Championship. He retired from motor sport in 2016, becoming a television pundit for Britain's Channel 4 and Australia's Network 10 and a driver manager. Webber received the Australian Sports Medal in 2000 and was appointed Officer of the Order of Australia (AO) in the 2017 Australia Day Honours. Webber is an inductee of both the Australian Motor Sport Hall of Fame and the FIA Hall of Fame.

",https://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
Austria,73,Niki Lauda,http://www.wikidata.org/entity/Q78489,wd:Q78489,40486.0,Austrian former Formula 1 driver (1949-2019),"Andreas Nikolaus ""Niki"" Lauda (22 February 1949 – 20 May 2019) was an Austrian Formula One driver and aviation entrepreneur. He was a three-time Formula One World Drivers' Champion, winning in 1975, 1977 and 1984, and is the only driver in Formula One history to have been champion for both Ferrari and McLaren, two of the sport's most successful constructors.
He was an aviation entrepreneur who founded and ran three airlines: Lauda Air, Niki and Lauda. He was also a consultant for Scuderia Ferrari and team manager of the Jaguar Formula One racing team for two years. Afterwards, he worked as a pundit for German TV during Grand Prix weekends and acted as non-executive chairman of Mercedes-AMG Petronas Motorsport, of which Lauda owned 10%.Lauda emerged as Formula One's star driver amid a 1975 title win and leading the 1976 championship battle. Lauda was seriously injured in a crash at the 1976 German Grand Prix while racing at the Nürburgring; during the crash his Ferrari 312T2 burst into flames nearly resulting in his death after he inhaled hot toxic fumes and suffered severe burns. He survived and recovered sufficiently to race again just six weeks later at the Italian Grand Prix. Although he lost that year's title by just one point to James Hunt, he won his second championship the year after, during his final season at Ferrari. After a couple of years at Brabham and two years' hiatus, Lauda returned and raced four seasons for McLaren between 1982 and 1985, during which he won the 1984 title by half a point over his teammate Alain Prost.",https://en.wikipedia.org/wiki/Niki_Lauda
